547.89 3.46068e-33  6.28166e-34 1.51987e-35 0  4.10405e-33 4.04703e-22
517.092 3.42125e-33  6.60821e-34 1.2777e-35 0  4.09485e-33 4.05321e-22
488.025 3.38183e-33  6.95136e-34 1.07412e-35 0  4.08771e-33 4.05908e-22
460.592 3.34241e-33  7.31192e-34 9.02976e-36 0  4.08263e-33 4.06466e-22
434.701 3.30299e-33  7.69075e-34 7.591e-36 0  4.07965e-33 4.06995e-22
410.266 3.26357e-33  8.08873e-34 6.38149e-36 0  4.07882e-33 4.07496e-22
387.204 3.22415e-33  8.50682e-34 5.3647e-36 0  4.0802e-33 4.07972e-22
365.438 3.18474e-33  8.94598e-34 4.50992e-36 0  4.08385e-33 4.08423e-22
344.896 3.14533e-33  9.40724e-34 3.79133e-36 0  4.08985e-33 4.08851e-22
325.509 3.10593e-33  9.89168e-34 3.18724e-36 0  4.09828e-33 4.09257e-22
307.211 3.06652e-33  1.04004e-33 2.6794e-36 0  4.10924e-33 4.09641e-22
289.942 3.02713e-33  1.09346e-33 2.25248e-36 0  4.12284e-33 4.10004e-22
273.644 2.98773e-33  1.14955e-33 1.89358e-36 0  4.13917e-33 4.10349e-22
258.262 2.94834e-33  1.20843e-33 1.59187e-36 0  4.15837e-33 4.10675e-22
243.744 2.90896e-33  1.27025e-33 1.33823e-36 0  4.18054e-33 4.10984e-22
230.043 2.86958e-33  1.33513e-33 1.125e-36 0  4.20584e-33 4.11277e-22
217.112 2.83021e-33  1.40323e-33 9.4575e-37 0  4.23439e-33 4.11554e-22
204.907 2.79085e-33  1.4747e-33 7.9506e-37 0  4.26634e-33 4.11816e-22
193.389 2.75149e-33  1.54969e-33 6.68379e-37 0  4.30185e-33 4.12063e-22
182.518 2.71214e-33  1.62838e-33 5.61883e-37 0  4.34108e-33 4.12298e-22
172.259 2.6728e-33  1.71093e-33 4.72356e-37 0  4.3842e-33 4.1252e-22
162.576 2.63347e-33  1.79752e-33 3.97093e-37 0  4.43138e-33 4.12729e-22
153.437 2.59415e-33  1.88835e-33 3.33822e-37 0  4.48283e-33 4.12928e-22
144.812 2.55484e-33  1.9836e-33 2.80633e-37 0  4.53872e-33 4.13115e-22
136.672 2.51554e-33  2.08349e-33 2.35918e-37 0  4.59926e-33 4.13293e-22
128.989 2.47625e-33  2.18822e-33 1.98328e-37 0  4.66467e-33 4.1346e-22
121.738 2.43698e-33  2.29802e-33 1.66728e-37 0  4.73517e-33 4.13619e-22
114.895 2.39773e-33  2.41312e-33 1.40162e-37 0  4.81098e-33 4.13769e-22
108.437 2.35849e-33  2.53375e-33 1.17829e-37 0  4.89235e-33 4.1391e-22
102.341 2.31927e-33  2.66016e-33 9.90551e-38 0  4.97953e-33 4.14044e-22
96.5883 2.28007e-33  2.79262e-33 8.32722e-38 0  5.07277e-33 4.14171e-22
91.1589 2.24089e-33  2.93139e-33 7.00041e-38 0  5.17235e-33 4.1429e-22
86.0346 2.20173e-33  3.07675e-33 5.885e-38 0  5.27854e-33 4.14403e-22
81.1984 2.1626e-33  3.22899e-33 4.94731e-38 0  5.39164e-33 4.1451e-22
76.6341 2.1235e-33  3.38842e-33 4.15904e-38 0  5.51196e-33 4.14611e-22
72.3263 2.08442e-33  3.55534e-33 3.49636e-38 0  5.6398e-33 4.14706e-22
68.2607 2.04538e-33  3.73008e-33 2.93927e-38 0  5.77549e-33 4.14796e-22
64.4236 2.00637e-33  3.91297e-33 2.47094e-38 0  5.91937e-33 4.14881e-22
60.8022 1.9674e-33  4.10436e-33 2.07723e-38 0  6.07178e-33 4.14961e-22
57.3844 1.92847e-33  4.30462e-33 1.74626e-38 0  6.2331e-33 4.15037e-22
54.1587 1.88958e-33  4.5141e-33 1.46802e-38 0  6.40369e-33 4.15109e-22
51.1143 1.85074e-33  4.7332e-33 1.23411e-38 0  6.58395e-33 4.15177e-22
48.2411 1.81194e-33  4.96232e-33 1.03747e-38 0  6.77427e-33 4.1524e-22
45.5294 1.7732e-33  5.20186e-33 8.72169e-39 0  6.97507e-33 4.15301e-22
42.97 1.73452e-33  5.45225e-33 7.33202e-39 0  7.18678e-33 4.15356e-22
40.5546 1.6959e-33  5.71391e-33 6.16378e-39 0  7.40982e-33 4.15411e-22
38.2749 1.65735e-33  5.98731e-33 5.18167e-39 0  7.64467e-33 4.15463e-22
36.1234 1.61887e-33  6.27291e-33 4.35605e-39 0  7.89178e-33 4.15511e-22
34.0929 1.58047e-33  6.57117e-33 3.66198e-39 0  8.15164e-33 4.15556e-22
32.1764 1.54215e-33  6.88259e-33 3.0785e-39 0  8.42474e-33 4.15597e-22
30.3677 1.50392e-33  7.20766e-33 2.58799e-39 0  8.71159e-33 4.15638e-22
28.6607 1.46579e-33  7.54691e-33 2.17563e-39 0  9.0127e-33 4.15678e-22
27.0496 1.42776e-33  7.90086e-33 1.82898e-39 0  9.32862e-33 4.15711e-22
25.5291 1.38984e-33  8.27005e-33 1.53756e-39 0  9.65989e-33 4.15748e-22
24.094 1.35203e-33  8.65503e-33 1.29257e-39 0  1.00071e-32 4.15779e-22
22.7397 1.31436e-33  9.05636e-33 1.08662e-39 0  1.03707e-32 4.15813e-22
21.4614 1.27682e-33  9.47461e-33 9.13484e-40 0  1.07514e-32 4.15835e-22
20.255 1.23942e-33  9.91038e-33 7.67935e-40 0  1.11498e-32 4.15857e-22
19.1164 1.20218e-33  1.03643e-32 6.45576e-40 0  1.15664e-32 4.15899e-22
18.0419 1.1651e-33  1.08368e-32 5.42713e-40 0  1.20019e-32 4.15912e-22
17.0277 1.1282e-33  1.13287e-32 4.5624e-40 0  1.24569e-32 4.15937e-22
16.0705 1.09149e-33  1.18406e-32 3.83545e-40 0  1.29321e-32 4.15931e-22
15.1672 1.05497e-33  1.2373e-32 3.22433e-40 0  1.3428e-32 4.15977e-22
14.3146 1.01868e-33  1.29266e-32 2.71058e-40 0  1.39453e-32 4.16006e-22
13.5099 9.82603e-34  1.35021e-32 2.27869e-40 0  1.44847e-32 4.16036e-22
12.7505 9.46773e-34  1.41001e-32 1.91562e-40 0  1.50469e-32 4.16015e-22
12.0338 9.112e-34  1.47212e-32 1.61039e-40 0  1.56324e-32 4.16019e-22
11.3573 8.759e-34  1.5366e-32 1.3538e-40 0  1.62419e-32 4.16061e-22
10.7189 8.40891e-34  1.60353e-32 1.1381e-40 0  1.68762e-32 4.16077e-22
10.1164 8.06189e-34  1.67297e-32 9.56757e-41 0  1.75359e-32 4.16046e-22
9.54772 7.71814e-34  1.74498e-32 8.04312e-41 0  1.82216e-32 4.16143e-22
9.01102 7.37785e-34  1.81962e-32 6.76158e-41 0  1.8934e-32 4.1611e-22
8.50449 7.04123e-34  1.89696e-32 5.68422e-41 0  1.96737e-32 4.16176e-22
8.02643 6.70849e-34  1.97706e-32 4.77853e-41 0  2.04414e-32 4.16218e-22
7.57525 6.37987e-34  2.05998e-32 4.01714e-41 0  2.12378e-32 4.16264e-22
7.14943 6.05559e-34  2.14578e-32 3.37707e-41 0  2.20634e-32 4.16324e-22
6.74754 5.73591e-34  2.23452e-32 2.83899e-41 0  2.29188e-32 4.16375e-22
6.36825 5.42108e-34  2.32626e-32 2.38664e-41 0  2.38047e-32 4.16579e-22
6.01028 5.11138e-34  2.42105e-32 2.00636e-41 0  2.47217e-32 4.16289e-22
5.67243 4.80709e-34  2.51896e-32 1.68668e-41 0  2.56703e-32 4.15999e-22
5.35357 4.50851e-34  2.62002e-32 1.41793e-41 0  2.6651e-32 4.16112e-22
5.05263 4.21595e-34  2.72429e-32 1.19201e-41 0  2.76645e-32 4.16291e-22
4.76861 3.92973e-34  2.83183e-32 1.00208e-41 0  2.87113e-32 4.16216e-22
4.50056 3.6502e-34  2.94267e-32 8.42413e-42 0  2.97918e-32 4.15851e-22
4.24757 3.37771e-34  3.05687e-32 7.08188e-42 0  3.09065e-32 4.16892e-22
4.00881 3.11263e-34  3.17447e-32 5.95349e-42 0  3.2056e-32 4.17262e-22
3.78346 2.85534e-34  3.29551e-32 5.00489e-42 0  3.32406e-32 4.16446e-22
3.57079 2.60626e-34  3.42003e-32 4.20744e-42 0  3.44609e-32 4.15383e-22
3.37006 2.36581e-34  3.54807e-32 3.53705e-42 0  3.57173e-32 4.14769e-22
3.18063 2.13441e-34  3.67968e-32 2.97347e-42 0  3.70102e-32 4.11541e-22
3.00184 1.91254e-34  3.81489e-32 2.4997e-42 0  3.83402e-32 4.15283e-22
2.8331 1.70064e-34  3.95375e-32 2.10141e-42 0  3.97076e-32 4.15271e-22
2.67384 1.49922e-34  4.0963e-32 1.76658e-42 0  4.11129e-32 4.12078e-22
2.52354 1.30876e-34  4.24258e-32 1.4851e-42 0  4.25566e-32 4.1646e-22
2.38169 1.12977e-34  4.39264e-32 1.24847e-42 0  4.40394e-32 4.18196e-22
2.24781 9.62746e-35  4.54654e-32 1.04955e-42 0  4.55616e-32 4.11645e-22
2.12145 8.08186e-35  4.70433e-32 8.82319e-43 0  4.71241e-32 4.16198e-22
2.0022 6.66471e-35  4.86609e-32 7.41735e-43 0  4.87276e-32 4.14822e-22
1.88965 5.38249e-35  5.03189e-32 6.23551e-43 0  5.03728e-32 3.9079e-22
1.78343 4.23787e-35  5.20183e-32 5.24198e-43 0  5.20607e-32 4.12098e-22
1.68318 3.23402e-35  5.376e-32 4.40675e-43 0  5.37923e-32 4.2008e-22
1.58857 2.37295e-35  5.55453e-32 3.7046e-43 0  5.5569e-32 4.13795e-22
1.49927 1.65512e-35  5.73756e-32 3.11433e-43 0  5.73921e-32 4.09762e-22
1.41499 1.07883e-35  5.92524e-32 2.61811e-43 0  5.92632e-32 4.39684e-22
1.33545 6.3951e-36  6.11779e-32 2.20095e-43 0  6.11843e-32 4.03491e-22
1.26038 3.28836e-36  6.3154e-32 1.85026e-43 0  6.31573e-32 3.8197e-22
1.18953 1.33529e-36  6.51834e-32 1.55545e-43 0  6.51847e-32 3.94805e-22
1.12267 3.39122e-37  6.7269e-32 1.30762e-43 0  6.72693e-32 4.54079e-22
1.05956 2.06348e-38  6.94141e-32 1.09927e-43 0  6.94142e-32 4.39748e-22
1 0  7.16227e-32 9.24116e-44 0  7.16227e-32 4.78557e-22
