6.74754 5.73591e-25  2.23452e-23 2.83899e-23 0  5.13087e-23 3.24556e-13
6.36825 5.42108e-25  2.32626e-23 2.38664e-23 0  4.76711e-23 3.27922e-13
6.01028 5.11138e-25  2.42105e-23 2.00636e-23 0  4.47853e-23 3.31221e-13
5.67243 4.80709e-25  2.51896e-23 1.68668e-23 0  4.25371e-23 3.34444e-13
5.35357 4.50851e-25  2.62002e-23 1.41793e-23 0  4.08304e-23 3.37594e-13
5.05263 4.21595e-25  2.72429e-23 1.19201e-23 0  3.95846e-23 3.40667e-13
4.76861 3.92973e-25  2.83183e-23 1.00208e-23 0  3.87321e-23 3.43663e-13
4.50056 3.6502e-25  2.94267e-23 8.42413e-24 0  3.82159e-23 3.46581e-13
4.24757 3.37771e-25  3.05687e-23 7.08188e-24 0  3.79884e-23 3.4942e-13
4.00881 3.11263e-25  3.17447e-23 5.95349e-24 0  3.80094e-23 3.52179e-13
3.78346 2.85534e-25  3.29551e-23 5.00489e-24 0  3.82455e-23 3.54859e-13
3.57079 2.60626e-25  3.42003e-23 4.20744e-24 0  3.86683e-23 3.57459e-13
3.37006 2.36581e-25  3.54807e-23 3.53705e-24 0  3.92544e-23 3.59979e-13
3.18063 2.13441e-25  3.67968e-23 2.97347e-24 0  3.99837e-23 3.6242e-13
3.00184 1.91254e-25  3.81489e-23 2.4997e-24 0  4.08399e-23 3.64781e-13
2.8331 1.70064e-25  3.95375e-23 2.10141e-24 0  4.1809e-23 3.67064e-13
2.67384 1.49922e-25  4.0963e-23 1.76658e-24 0  4.28795e-23 3.69268e-13
2.52354 1.30876e-25  4.24258e-23 1.4851e-24 0  4.40417e-23 3.71396e-13
2.38169 1.12977e-25  4.39264e-23 1.24847e-24 0  4.52878e-23 3.73447e-13
2.24781 9.62746e-26  4.54654e-23 1.04955e-24 0  4.66112e-23 3.75423e-13
2.12145 8.08186e-26  4.70433e-23 8.82319e-25 0  4.80065e-23 3.77325e-13
2.0022 6.66471e-26  4.86609e-23 7.41735e-25 0  4.94693e-23 3.79155e-13
1.88965 5.38249e-26  5.03189e-23 6.23551e-25 0  5.09963e-23 3.80914e-13
1.78343 4.23787e-26  5.20183e-23 5.24198e-25 0  5.25849e-23 3.82603e-13
1.68318 3.23402e-26  5.376e-23 4.40675e-25 0  5.4233e-23 3.84224e-13
1.58857 2.37295e-26  5.55453e-23 3.7046e-25 0  5.59395e-23 3.85779e-13
1.49927 1.65512e-26  5.73756e-23 3.11433e-25 0  5.77035e-23 3.87268e-13
1.41499 1.07883e-26  5.92524e-23 2.61811e-25 0  5.9525e-23 3.88696e-13
1.33545 6.3951e-27  6.11779e-23 2.20095e-25 0  6.14043e-23 3.90061e-13
1.26038 3.28836e-27  6.3154e-23 1.85026e-25 0  6.33423e-23 3.91368e-13
1.18953 1.33529e-27  6.51834e-23 1.55545e-25 0  6.53403e-23 3.92617e-13
1.12267 3.39122e-28  6.7269e-23 1.30762e-25 0  6.74001e-23 3.9381e-13
1.05956 2.06348e-29  6.94141e-23 1.09927e-25 0  6.95241e-23 3.9495e-13
1 0  7.16227e-23 9.24116e-26 0  7.17151e-23 3.96037e-13
