1000 3.64214e-27  3.54363e-28 9.23824e-23 2.10776e-17  2.10777e-17 1.24026e-15
3.37006 0  2.97047e-26 3.53593e-30 0  2.97083e-26 1.60115e-10
3.25509 0  3.02784e-26 3.18623e-30 0  3.02815e-26 1.71636e-10
3.14404 0  3.08572e-26 2.87112e-30 0  3.086e-26 1.83986e-10
3.03677 0  3.1441e-26 2.58717e-30 0  3.14436e-26 1.97223e-10
2.93317 0  3.20296e-26 2.33131e-30 0  3.20319e-26 2.11412e-10
2.8331 0  3.26228e-26 2.10074e-30 0  3.26249e-26 2.26626e-10
2.73644 0  3.32204e-26 1.89298e-30 0  3.32223e-26 2.42931e-10
2.64308 0  3.38222e-26 1.70577e-30 0  3.38239e-26 2.60409e-10
2.55291 0  3.44278e-26 1.53707e-30 0  3.44294e-26 2.79144e-10
2.46581 0  3.50372e-26 1.38506e-30 0  3.50386e-26 2.99227e-10
2.38169 0  3.565e-26 1.24808e-30 0  3.56513e-26 3.20754e-10
2.30043 0  3.6266e-26 1.12465e-30 0  3.62671e-26 3.43827e-10
2.22195 0  3.68849e-26 1.01342e-30 0  3.68859e-26 3.68564e-10
2.14614 0  3.75065e-26 9.13196e-31 0  3.75075e-26 3.95077e-10
2.07292 0  3.81306e-26 8.22883e-31 0  3.81314e-26 4.23495e-10
2.0022 6.58629e-29  3.87567e-26 7.41501e-31 0  3.88234e-26 4.53956e-10
1.93389 5.8099e-29  3.93848e-26 6.68168e-31 0  3.94436e-26 4.86609e-10
1.86791 5.08193e-29  4.00145e-26 6.02088e-31 0  4.00659e-26 5.21614e-10
1.80419 4.40319e-29  4.06456e-26 5.42542e-31 0  4.06902e-26 5.59119e-10
1.74263 3.77435e-29  4.12777e-26 4.88886e-31 0  4.1316e-26 5.99353e-10
1.68318 3.19596e-29  4.19107e-26 4.40536e-31 0  4.19431e-26 6.42409e-10
1.62576 2.6684e-29  4.25443e-26 3.96968e-31 0  4.25714e-26 6.8867e-10
1.57029 2.19185e-29  4.31783e-26 3.57708e-31 0  4.32006e-26 7.38205e-10
1.51672 1.76625e-29  4.38124e-26 3.22332e-31 0  4.38304e-26 7.91297e-10
1.46497 1.39124e-29  4.44463e-26 2.90454e-31 0  4.44606e-26 8.48209e-10
1.41499 1.06613e-29  4.508e-26 2.61728e-31 0  4.50909e-26 9.09214e-10
1.36672 7.89832e-30  4.57132e-26 2.35844e-31 0  4.57213e-26 9.74607e-10
1.32009 5.60753e-30  4.63456e-26 2.12519e-31 0  4.63515e-26 1.0447e-09
1.27505 3.76749e-30  4.69773e-26 1.91502e-31 0  4.69812e-26 1.11984e-09
1.23155 2.35011e-30  4.76079e-26 1.72562e-31 0  4.76105e-26 1.20037e-09
1.18953 1.31958e-30  4.82375e-26 1.55496e-31 0  4.8239e-26 1.28671e-09
1.14895 6.31026e-31  4.88659e-26 1.40118e-31 0  4.88667e-26 1.37923e-09
1.10975 2.29109e-31  4.94932e-26 1.26261e-31 0  4.94935e-26 1.47841e-09
1.07189 4.62998e-32  5.01191e-26 1.13774e-31 0  5.01193e-26 1.58474e-09
1.03532 9.6951e-34  5.07439e-26 1.02522e-31 0  5.0744e-26 1.69869e-09
1 0  5.13676e-26 9.23824e-32 0  5.13677e-26 1.82087e-09
