9288.29 5.39033e-27  4.99476e-29 0 6.4049e-17  6.4049e-17 5.83417e-17
9076.45 5.37459e-27  5.10061e-29 0 6.44547e-17  6.44547e-17 5.91653e-17
8869.43 5.35886e-27  5.20868e-29 0 6.48498e-17  6.48498e-17 5.9997e-17
8667.14 5.34313e-27  5.31901e-29 0 6.52338e-17  6.52338e-17 6.08373e-17
8469.46 5.3274e-27  5.43166e-29 0 6.56062e-17  6.56062e-17 6.16867e-17
8276.29 5.31167e-27  5.54667e-29 0 6.59665e-17  6.59665e-17 6.25449e-17
8087.52 5.29594e-27  5.66409e-29 0 6.63143e-17  6.63143e-17 6.34117e-17
7903.07 5.28021e-27  5.78396e-29 0 6.6649e-17  6.6649e-17 6.42874e-17
7722.81 5.26448e-27  5.90635e-29 0 6.69702e-17  6.69702e-17 6.51721e-17
7546.67 5.24875e-27  6.0313e-29 0 6.72774e-17  6.72774e-17 6.60666e-17
7374.55 5.23302e-27  6.15886e-29 0 6.757e-17  6.757e-17 6.69696e-17
7206.35 5.21729e-27  6.2891e-29 0 6.78477e-17  6.78477e-17 6.78798e-17
7041.99 5.20156e-27  6.42205e-29 0 6.81099e-17  6.81099e-17 6.88002e-17
6881.38 5.18582e-27  6.55779e-29 0 6.83561e-17  6.83561e-17 6.97295e-17
6724.43 5.17009e-27  6.69637e-29 0 6.85859e-17  6.85859e-17 7.06708e-17
6571.06 5.15436e-27  6.83784e-29 0 6.87987e-17  6.87987e-17 7.16178e-17
6421.19 5.13863e-27  6.98226e-29 0 6.8994e-17  6.8994e-17 7.25721e-17
6274.73 5.1229e-27  7.12971e-29 0 6.91714e-17  6.91714e-17 7.3537e-17
6131.62 5.10717e-27  7.28023e-29 0 6.93303e-17  6.93303e-17 7.45118e-17
5991.77 5.09144e-27  7.43389e-29 0 6.94704e-17  6.94704e-17 7.54957e-17
5855.11 5.07571e-27  7.59076e-29 0 6.95911e-17  6.95911e-17 7.64886e-17
5721.57 5.05998e-27  7.7509e-29 0 6.96919e-17  6.96919e-17 7.74904e-17
5591.07 5.04425e-27  7.91439e-29 0 6.97724e-17  6.97724e-17 7.85055e-17
5463.55 5.02852e-27  8.08128e-29 0 6.98321e-17  6.98321e-17 7.95257e-17
5338.94 5.01279e-27  8.25165e-29 0 6.98706e-17  6.98706e-17 8.05509e-17
5217.17 4.99706e-27  8.42557e-29 0 6.98875e-17  6.98875e-17 8.15875e-17
5098.18 4.98132e-27  8.60311e-29 0 6.98823e-17  6.98823e-17 8.26367e-17
4981.9 4.96559e-27  8.78435e-29 0 6.98546e-17  6.98546e-17 8.36937e-17
4868.27 4.94986e-27  8.96937e-29 0 6.98041e-17  6.98041e-17 8.47597e-17
4757.24 4.93413e-27  9.15823e-29 0 6.97302e-17  6.97302e-17 8.58339e-17
4648.73 4.9184e-27  9.35102e-29 0 6.96328e-17  6.96328e-17 8.69228e-17
4542.71 4.90267e-27  9.54783e-29 0 6.95113e-17  6.95113e-17 8.80184e-17
4439.1 4.88694e-27  9.74872e-29 0 6.93655e-17  6.93655e-17 8.91144e-17
4337.85 4.87121e-27  9.95379e-29 0 6.9195e-17  6.9195e-17 9.02234e-17
4238.91 4.85548e-27  1.01631e-28 0 6.89996e-17  6.89996e-17 9.13465e-17
4142.23 4.83975e-27  1.03768e-28 0 6.8779e-17  6.8779e-17 9.24773e-17
4047.76 4.82402e-27  1.05949e-28 0 6.8533e-17  6.8533e-17 9.36148e-17
3955.44 4.80829e-27  1.08176e-28 0 6.82612e-17  6.82612e-17 9.47626e-17
3865.22 4.79256e-27  1.10448e-28 0 6.79635e-17  6.79635e-17 9.59205e-17
3777.06 4.77683e-27  1.12768e-28 0 6.76398e-17  6.76398e-17 9.70861e-17
3690.92 4.7611e-27  1.15136e-28 0 6.72898e-17  6.72898e-17 9.82524e-17
3606.73 4.74537e-27  1.17553e-28 0 6.69135e-17  6.69135e-17 9.94495e-17
3524.47 4.72963e-27  1.2002e-28 0 6.65107e-17  6.65107e-17 1.00641e-16
3444.09 4.7139e-27  1.22539e-28 0 6.60815e-17  6.60815e-17 1.01842e-16
3365.53 4.69817e-27  1.25109e-28 0 6.56257e-17  6.56257e-17 1.03051e-16
3288.77 4.68244e-27  1.27733e-28 0 6.51434e-17  6.51434e-17 1.04271e-16
3213.76 4.66671e-27  1.30411e-28 0 6.46347e-17  6.46347e-17 1.055e-16
3140.47 4.65098e-27  1.33144e-28 0 6.40996e-17  6.40996e-17 1.06738e-16
3068.84 4.63525e-27  1.35934e-28 0 6.35383e-17  6.35383e-17 1.07985e-16
2998.84 4.61952e-27  1.38781e-28 0 6.29508e-17  6.29508e-17 1.09231e-16
