100000 7.01061e-30  5.64186e-33 0 6.26841e-20  6.26841e-20 3.82814e-20
17629.1 5.82723e-30  2.78499e-32 5.06314e-25 4.32051e-20  4.32056e-20 1.05608e-19
16638.2 5.78779e-30  2.93619e-32 4.2564e-25 4.05429e-20  4.05434e-20 1.08717e-19
15702.9 5.74834e-30  3.09553e-32 3.57821e-25 3.78408e-20  3.78412e-20 1.11884e-19
14820.2 5.70889e-30  3.26342e-32 3.00808e-25 3.51188e-20  3.51191e-20 1.15102e-19
13987.1 5.66945e-30  3.44034e-32 2.52879e-25 3.23977e-20  3.2398e-20 1.18377e-19
13200.9 5.63e-30  3.62675e-32 2.12586e-25 2.96987e-20  2.96989e-20 1.21705e-19
12458.8 5.59056e-30  3.82317e-32 1.78714e-25 2.70428e-20  2.7043e-20 1.25083e-19
11758.5 5.55111e-30  4.03011e-32 1.50239e-25 2.44506e-20  2.44508e-20 1.28512e-19
11097.5 5.51167e-30  4.24814e-32 1.263e-25 2.19419e-20  2.19421e-20 1.31996e-19
10473.7 5.47222e-30  4.47785e-32 1.06176e-25 1.95352e-20  1.95353e-20 1.35534e-19
9884.96 5.43277e-30  4.71985e-32 8.92588e-26 1.72472e-20  1.72473e-20 1.39115e-19
9329.3 5.39333e-30  4.97479e-32 7.50368e-26 1.50927e-20  1.50927e-20 1.4274e-19
8804.88 5.35388e-30  5.24336e-32 6.30808e-26 1.30837e-20  1.30838e-20 1.46421e-19
8309.94 5.31444e-30  5.52627e-32 5.30298e-26 1.12298e-20  1.12299e-20 1.5014e-19
7842.82 5.27499e-30  5.82427e-32 4.45803e-26 9.53758e-21  9.53763e-21 1.53902e-19
7401.96 5.23555e-30  6.13817e-32 3.74771e-26 8.01042e-21  8.01046e-21 1.57725e-19
6985.88 5.1961e-30  6.4688e-32 3.15057e-26 6.6487e-21  6.64873e-21 1.61568e-19
6593.19 5.15666e-30  6.81704e-32 2.64858e-26 5.44976e-21  5.44979e-21 1.65465e-19
6222.57 5.11721e-30  7.18381e-32 2.22657e-26 4.40813e-21  4.40815e-21 1.69388e-19
5872.79 5.07776e-30  7.57008e-32 1.8718e-26 3.51581e-21  3.51583e-21 1.73354e-19
5542.66 5.03832e-30  7.97688e-32 1.57356e-26 2.76265e-21  2.76267e-21 1.77369e-19
5231.1 4.99887e-30  8.40528e-32 1.32283e-26 2.13685e-21  2.13686e-21 1.81398e-19
4937.05 4.95943e-30  8.85642e-32 1.11206e-26 1.62539e-21  1.6254e-21 1.85464e-19
4659.53 4.91998e-30  9.33147e-32 9.3487e-27 1.21465e-21  1.21466e-21 1.89548e-19
4397.6 4.88054e-30  9.83169e-32 7.85913e-27 8.90829e-22  8.90837e-22 1.93676e-19
4150.4 4.84109e-30  1.03584e-31 6.6069e-27 6.40478e-22  6.40485e-22 1.97822e-19
3917.1 4.80165e-30  1.09129e-31 5.55419e-27 4.50888e-22  4.50894e-22 2.01988e-19
3696.91 4.7622e-30  1.14968e-31 4.66922e-27 3.10416e-22  3.10421e-22 2.06181e-19
3489.1 4.72276e-30  1.21115e-31 3.92525e-27 2.08717e-22  2.08721e-22 2.10384e-19
3292.97 4.68331e-30  1.27586e-31 3.29982e-27 1.36867e-22  1.36871e-22 2.14609e-19
3107.87 4.64387e-30  1.34399e-31 2.77404e-27 8.74027e-23  8.74055e-23 2.18844e-19
2933.17 4.60442e-30  1.4157e-31 2.33204e-27 5.42688e-23  5.42712e-23 2.23091e-19
2768.29 4.56498e-30  1.49118e-31 1.96047e-27 3.27078e-23  3.27098e-23 2.27343e-19
2612.68 4.52553e-30  1.57064e-31 1.6481e-27 1.91012e-23  1.91028e-23 2.31598e-19
2465.81 4.48609e-30  1.65427e-31 1.3855e-27 1.07886e-23  1.079e-23 2.35852e-19
2327.2 4.44665e-30  1.74229e-31 1.16474e-27 5.88166e-24  5.88283e-24 2.40104e-19
2196.39 4.4072e-30  1.83492e-31 9.79156e-28 3.08854e-24  3.08952e-24 2.44357e-19
2072.92 4.36776e-30  1.9324e-31 8.23143e-28 1.55867e-24  1.5595e-24 2.48589e-19
1956.4 4.32831e-30  2.03499e-31 6.91987e-28 7.54172e-25  7.54869e-25 2.52821e-19
1846.42 4.28887e-30  2.14294e-31 5.8173e-28 3.48986e-25  3.49572e-25 2.57045e-19
1742.63 4.24943e-30  2.25653e-31 4.8904e-28 1.54026e-25  1.5452e-25 2.61224e-19
1644.68 4.20999e-30  2.37604e-31 4.11119e-28 6.46502e-26  6.50658e-26 2.65403e-19
1552.23 4.17054e-30  2.50178e-31 3.45613e-28 2.57238e-26  2.60738e-26 2.69551e-19
1464.97 4.1311e-30  2.63407e-31 2.90545e-28 9.66645e-27  9.96139e-27 2.73674e-19
1382.62 4.09166e-30  2.77324e-31 2.44251e-28 3.41393e-27  3.66255e-27 2.77762e-19
1304.9 4.05222e-30  2.91964e-31 2.05334e-28 1.12466e-27  1.33434e-27 2.81802e-19
1231.55 4.01278e-30  3.07364e-31 1.72617e-28 3.40596e-28  5.17533e-28 2.85836e-19
1162.32 3.97334e-30  3.23562e-31 1.45113e-28 9.16582e-29  2.41068e-28 2.89799e-19
1096.99 3.9339e-30  3.40599e-31 1.21991e-28 1.99955e-29  1.46261e-28 2.93725e-19
1035.32 3.89446e-30  3.58517e-31 1.02554e-28 2.59363e-30  1.09401e-28 2.97606e-19
977.124 3.85502e-30  3.7736e-31 8.62136e-29 1.61955e-32  9.04621e-29 3.01435e-19
922.198 3.81558e-30  3.97176e-31 7.24767e-29 0  7.66895e-29 3.05213e-19
870.359 3.77614e-30  4.18013e-31 6.09287e-29 0  6.51228e-29 3.08935e-19
821.434 3.73671e-30  4.39922e-31 5.12206e-29 0  5.53973e-29 3.12595e-19
775.26 3.69727e-30  4.62957e-31 4.30594e-29 0  4.72196e-29 3.1619e-19
731.681 3.65784e-30  4.87175e-31 3.61985e-29 0  4.03436e-29 3.19721e-19
690.551 3.6184e-30  5.12634e-31 3.04309e-29 0  3.45619e-29 3.23191e-19
651.734 3.57897e-30  5.39396e-31 2.55822e-29 0  2.97005e-29 3.26586e-19
615.099 3.53954e-30  5.67526e-31 2.1506e-29 0  2.56131e-29 3.2991e-19
580.523 3.50011e-30  5.97093e-31 1.80794e-29 0  2.21766e-29 3.33164e-19
547.89 3.46068e-30  6.28166e-31 1.51987e-29 0  1.92876e-29 3.36343e-19
517.092 3.42125e-30  6.60821e-31 1.2777e-29 0  1.68591e-29 3.39447e-19
488.025 3.38183e-30  6.95136e-31 1.07412e-29 0  1.48182e-29 3.42473e-19
460.592 3.34241e-30  7.31192e-31 9.02976e-30 0  1.31034e-29 3.45423e-19
434.701 3.30299e-30  7.69075e-31 7.591e-30 0  1.16631e-29 3.48293e-19
410.266 3.26357e-30  8.08873e-31 6.38149e-30 0  1.04539e-29 3.51085e-19
387.204 3.22415e-30  8.50682e-31 5.3647e-30 0  9.43954e-30 3.53797e-19
365.438 3.18474e-30  8.94598e-31 4.50992e-30 0  8.58926e-30 3.56429e-19
344.896 3.14533e-30  9.40724e-31 3.79133e-30 0  7.87739e-30 3.58981e-19
325.509 3.10593e-30  9.89168e-31 3.18724e-30 0  7.28233e-30 3.61453e-19
307.211 3.06652e-30  1.04004e-30 2.6794e-30 0  6.78597e-30 3.63846e-19
289.942 3.02713e-30  1.09346e-30 2.25248e-30 0  6.37307e-30 3.6616e-19
273.644 2.98773e-30  1.14955e-30 1.89358e-30 0  6.03086e-30 3.68396e-19
258.262 2.94834e-30  1.20843e-30 1.59187e-30 0  5.74864e-30 3.70554e-19
243.744 2.90896e-30  1.27025e-30 1.33823e-30 0  5.51744e-30 3.72636e-19
230.043 2.86958e-30  1.33513e-30 1.125e-30 0  5.32972e-30 3.74642e-19
217.112 2.83021e-30  1.40323e-30 9.4575e-31 0  5.17919e-30 3.76573e-19
204.907 2.79085e-30  1.4747e-30 7.9506e-31 0  5.0606e-30 3.78432e-19
193.389 2.75149e-30  1.54969e-30 6.68379e-31 0  4.96956e-30 3.80219e-19
182.518 2.71214e-30  1.62838e-30 5.61883e-31 0  4.9024e-30 3.81936e-19
172.259 2.6728e-30  1.71093e-30 4.72356e-31 0  4.85608e-30 3.83584e-19
162.576 2.63347e-30  1.79752e-30 3.97093e-31 0  4.82808e-30 3.85165e-19
153.437 2.59415e-30  1.88835e-30 3.33822e-31 0  4.81631e-30 3.8668e-19
144.812 2.55484e-30  1.9836e-30 2.80633e-31 0  4.81907e-30 3.88132e-19
136.672 2.51554e-30  2.08349e-30 2.35918e-31 0  4.83495e-30 3.89522e-19
128.989 2.47625e-30  2.18822e-30 1.98328e-31 0  4.8628e-30 3.90852e-19
121.738 2.43698e-30  2.29802e-30 1.66728e-31 0  4.90173e-30 3.92124e-19
114.895 2.39773e-30  2.41312e-30 1.40162e-31 0  4.95101e-30 3.9334e-19
108.437 2.35849e-30  2.53375e-30 1.17829e-31 0  5.01006e-30 3.945e-19
102.341 2.31927e-30  2.66016e-30 9.90551e-32 0  5.07848e-30 3.95608e-19
96.5883 2.28007e-30  2.79262e-30 8.32722e-32 0  5.15596e-30 3.96666e-19
91.1589 2.24089e-30  2.93139e-30 7.00041e-32 0  5.24228e-30 3.97674e-19
86.0346 2.20173e-30  3.07675e-30 5.885e-32 0  5.33733e-30 3.98635e-19
81.1984 2.1626e-30  3.22899e-30 4.94731e-32 0  5.44107e-30 3.9955e-19
76.6341 2.1235e-30  3.38842e-30 4.15904e-32 0  5.55351e-30 4.00422e-19
72.3263 2.08442e-30  3.55534e-30 3.49636e-32 0  5.67472e-30 4.01252e-19
68.2607 2.04538e-30  3.73008e-30 2.93927e-32 0  5.80485e-30 4.02041e-19
64.4236 2.00637e-30  3.91297e-30 2.47094e-32 0  5.94405e-30 4.02792e-19
60.8022 1.9674e-30  4.10436e-30 2.07723e-32 0  6.09253e-30 4.03506e-19
57.3844 1.92847e-30  4.30462e-30 1.74626e-32 0  6.25055e-30 4.04184e-19
54.1587 1.88958e-30  4.5141e-30 1.46802e-32 0  6.41836e-30 4.04829e-19
51.1143 1.85074e-30  4.7332e-30 1.23411e-32 0  6.59628e-30 4.05441e-19
48.2411 1.81194e-30  4.96232e-30 1.03747e-32 0  6.78464e-30 4.06022e-19
45.5294 1.7732e-30  5.20186e-30 8.72169e-33 0  6.98379e-30 4.06574e-19
42.97 1.73452e-30  5.45225e-30 7.33202e-33 0  7.1941e-30 4.07097e-19
40.5546 1.6959e-30  5.71391e-30 6.16378e-33 0  7.41598e-30 4.07594e-19
38.2749 1.65735e-30  5.98731e-30 5.18167e-33 0  7.64985e-30 4.08064e-19
36.1234 1.61887e-30  6.27291e-30 4.35605e-33 0  7.89613e-30 4.08511e-19
34.0929 1.58047e-30  6.57117e-30 3.66198e-33 0  8.1553e-30 4.08934e-19
32.1764 1.54215e-30  6.88259e-30 3.0785e-33 0  8.42782e-30 4.09335e-19
30.3677 1.50392e-30  7.20766e-30 2.58799e-33 0  8.71417e-30 4.09715e-19
28.6607 1.46579e-30  7.54691e-30 2.17563e-33 0  9.01488e-30 4.10075e-19
27.0496 1.42776e-30  7.90086e-30 1.82898e-33 0  9.33045e-30 4.10416e-19
25.5291 1.38984e-30  8.27005e-30 1.53756e-33 0  9.66142e-30 4.10739e-19
24.094 1.35203e-30  8.65503e-30 1.29257e-33 0  1.00084e-29 4.11044e-19
22.7397 1.31436e-30  9.05636e-30 1.08662e-33 0  1.03718e-29 4.11333e-19
21.4614 1.27682e-30  9.47461e-30 9.13484e-34 0  1.07523e-29 4.11607e-19
20.255 1.23942e-30  9.91038e-30 7.67935e-34 0  1.11506e-29 4.11866e-19
19.1164 1.20218e-30  1.03643e-29 6.45576e-34 0  1.15671e-29 4.12111e-19
18.0419 1.1651e-30  1.08368e-29 5.42713e-34 0  1.20025e-29 4.12343e-19
17.0277 1.1282e-30  1.13287e-29 4.5624e-34 0  1.24574e-29 4.12563e-19
16.0705 1.09149e-30  1.18406e-29 3.83545e-34 0  1.29325e-29 4.1277e-19
15.1672 1.05497e-30  1.2373e-29 3.22433e-34 0  1.34283e-29 4.12966e-19
14.3146 1.01868e-30  1.29266e-29 2.71058e-34 0  1.39456e-29 4.13152e-19
13.5099 9.82603e-31  1.35021e-29 2.27869e-34 0  1.4485e-29 4.13327e-19
12.7505 9.46773e-31  1.41001e-29 1.91562e-34 0  1.5047e-29 4.13493e-19
12.0338 9.112e-31  1.47212e-29 1.61039e-34 0  1.56325e-29 4.1365e-19
11.3573 8.759e-31  1.5366e-29 1.3538e-34 0  1.62421e-29 4.13798e-19
10.7189 8.40891e-31  1.60353e-29 1.1381e-34 0  1.68763e-29 4.13938e-19
10.1164 8.06189e-31  1.67297e-29 9.56757e-35 0  1.7536e-29 4.1407e-19
9.54772 7.71814e-31  1.74498e-29 8.04312e-35 0  1.82217e-29 4.14195e-19
9.01102 7.37785e-31  1.81962e-29 6.76158e-35 0  1.89341e-29 4.14313e-19
8.50449 7.04123e-31  1.89696e-29 5.68422e-35 0  1.96738e-29 4.14425e-19
8.02643 6.70849e-31  1.97706e-29 4.77853e-35 0  2.04415e-29 4.14531e-19
7.57525 6.37987e-31  2.05998e-29 4.01714e-35 0  2.12378e-29 4.1463e-19
7.14943 6.05559e-31  2.14578e-29 3.37707e-35 0  2.20634e-29 4.14724e-19
6.74754 5.73591e-31  2.23452e-29 2.83899e-35 0  2.29188e-29 4.14814e-19
6.36825 5.42108e-31  2.32626e-29 2.38664e-35 0  2.38047e-29 4.14898e-19
6.01028 5.11138e-31  2.42105e-29 2.00636e-35 0  2.47217e-29 4.14977e-19
5.67243 4.80709e-31  2.51896e-29 1.68668e-35 0  2.56703e-29 4.15052e-19
5.35357 4.50851e-31  2.62002e-29 1.41793e-35 0  2.66511e-29 4.15123e-19
5.05263 4.21595e-31  2.72429e-29 1.19201e-35 0  2.76645e-29 4.1519e-19
4.76861 3.92973e-31  2.83183e-29 1.00208e-35 0  2.87113e-29 4.15253e-19
4.50056 3.6502e-31  2.94267e-29 8.42413e-36 0  2.97918e-29 4.15312e-19
4.24757 3.37771e-31  3.05687e-29 7.08188e-36 0  3.09065e-29 4.15369e-19
4.00881 3.11263e-31  3.17447e-29 5.95349e-36 0  3.2056e-29 4.1542e-19
3.78346 2.85534e-31  3.29551e-29 5.00489e-36 0  3.32406e-29 4.15471e-19
3.57079 2.60626e-31  3.42003e-29 4.20744e-36 0  3.44609e-29 4.15521e-19
3.37006 2.36581e-31  3.54807e-29 3.53705e-36 0  3.57173e-29 4.15563e-19
3.18063 2.13441e-31  3.67968e-29 2.97347e-36 0  3.70102e-29 4.15609e-19
3.00184 1.91254e-31  3.81489e-29 2.4997e-36 0  3.83402e-29 4.15648e-19
2.8331 1.70064e-31  3.95375e-29 2.10141e-36 0  3.97076e-29 4.15684e-19
2.67384 1.49922e-31  4.0963e-29 1.76658e-36 0  4.11129e-29 4.15719e-19
2.52354 1.30876e-31  4.24258e-29 1.4851e-36 0  4.25566e-29 4.15756e-19
2.38169 1.12977e-31  4.39264e-29 1.24847e-36 0  4.40394e-29 4.15781e-19
2.24781 9.62746e-32  4.54654e-29 1.04955e-36 0  4.55616e-29 4.15815e-19
2.12145 8.08186e-32  4.70433e-29 8.82319e-37 0  4.71241e-29 4.15843e-19
2.0022 6.66471e-32  4.86609e-29 7.41735e-37 0  4.87276e-29 4.15861e-19
1.88965 5.38249e-32  5.03189e-29 6.23551e-37 0  5.03728e-29 4.15892e-19
1.78343 4.23787e-32  5.20183e-29 5.24198e-37 0  5.20607e-29 4.15916e-19
1.68318 3.23402e-32  5.376e-29 4.40675e-37 0  5.37923e-29 4.15941e-19
1.58857 2.37295e-32  5.55453e-29 3.7046e-37 0  5.5569e-29 4.15967e-19
1.49927 1.65512e-32  5.73756e-29 3.11433e-37 0  5.73921e-29 4.15958e-19
1.41499 1.07883e-32  5.92524e-29 2.61811e-37 0  5.92632e-29 4.16003e-19
1.33545 6.3951e-33  6.11779e-29 2.20095e-37 0  6.11843e-29 4.15965e-19
1.26038 3.28836e-33  6.3154e-29 1.85026e-37 0  6.31573e-29 4.16039e-19
1.18953 1.33529e-33  6.51834e-29 1.55545e-37 0  6.51847e-29 4.16077e-19
1.12267 3.39122e-34  6.7269e-29 1.30762e-37 0  6.72693e-29 4.16094e-19
1.05956 2.06348e-35  6.94141e-29 1.09927e-37 0  6.94142e-29 4.16063e-19
1 0  7.16227e-29 9.24116e-38 0  7.16227e-29 4.15996e-19
